vote_id,member_id,position,country_code,ep_group,source
13,672,FOR,DNK,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,votewatch
13,846,DID_NOT_VOTE,DNK,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,votewatch
13,849,DID_NOT_VOTE,DNK,Confederal Group of the European United Left - Nordic Green Left,votewatch
14,27,FOR,DNK,Group of the Greens/European Free Alliance,votewatch
14,53,AGAINST,DNK,Group of the European People's Party (Christian Democrats),votewatch
14,116,FOR,DNK,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,votewatch
14,316,FOR,DNK,Group of the Alliance of Liberals and Democrats for Europe,votewatch
14,321,FOR,DNK,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,votewatch
14,396,FOR,DNK,Group of the Alliance of Liberals and Democrats for Europe,votewatch
14,446,AGAINST,DNK,Europe of freedom and democracy Group,votewatch
14,550,FOR,DNK,Group of the Alliance of Liberals and Democrats for Europe,votewatch
14,576,FOR,DNK,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,votewatch
14,611,FOR,DNK,Confederal Group of the European United Left - Nordic Green Left,votewatch
14,654,FOR,DNK,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,votewatch
14,672,FOR,DNK,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,votewatch
14,846,DID_NOT_VOTE,DNK,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,votewatch
14,849,DID_NOT_VOTE,DNK,Confederal Group of the European United Left - Nordic Green Left,votewatch
15,27,FOR,DNK,Group of the Greens/European Free Alliance,votewatch
15,53,AGAINST,DNK,Group of the European People's Party (Christian Democrats),votewatch
15,116,FOR,DNK,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,votewatch
15,316,FOR,DNK,Group of the Alliance of Liberals and Democrats for Europe,votewatch
15,321,FOR,DNK,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,votewatch
15,396,FOR,DNK,Group of the Alliance of Liberals and Democrats for Europe,votewatch
15,550,FOR,DNK,Group of the Alliance of Liberals and Democrats for Europe,votewatch
15,576,FOR,DNK,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,votewatch
15,611,FOR,DNK,Confederal Group of the European United Left - Nordic Green Left,votewatch
15,654,FOR,DNK,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,votewatch
15,672,FOR,DNK,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,votewatch
15,846,DID_NOT_VOTE,DNK,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,votewatch
15,849,DID_NOT_VOTE,DNK,Confederal Group of the European United Left - Nordic Green Left,votewatch
16,27,FOR,DNK,Group of the Greens/European Free Alliance,votewatch
16,53,AGAINST,DNK,Group of the European People's Party (Christian Democrats),votewatch
16,116,FOR,DNK,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,votewatch
16,316,AGAINST,DNK,Group of the Alliance of Liberals and Democrats for Europe,votewatch
16,321,FOR,DNK,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,votewatch
16,396,AGAINST,DNK,Group of the Alliance of Liberals and Democrats for Europe,votewatch
16,446,FOR,DNK,Europe of freedom and democracy Group,votewatch
16,550,ABSTENTION,DNK,Group of the Alliance of Liberals and Democrats for Europe,votewatch
16,555,FOR,DNK,European Conservatives and Reformists Group,votewatch
16,576,FOR,DNK,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,votewatch
16,611,FOR,DNK,Confederal Group of the European United Left - Nordic Green Left,votewatch
16,654,FOR,DNK,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,votewatch
16,672,FOR,DNK,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,votewatch
16,846,DID_NOT_VOTE,DNK,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,votewatch
16,849,DID_NOT_VOTE,DNK,Confederal Group of the European United Left - Nordic Green Left,votewatch
17,27,FOR,DNK,Group of the Greens/European Free Alliance,votewatch
17,53,AGAINST,DNK,Group of the European People's Party (Christian Democrats),votewatch
17,116,FOR,DNK,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,votewatch
17,316,AGAINST,DNK,Group of the Alliance of Liberals and Democrats for Europe,votewatch
17,321,FOR,DNK,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,votewatch
17,396,AGAINST,DNK,Group of the Alliance of Liberals and Democrats for Europe,votewatch
17,446,FOR,DNK,Europe of freedom and democracy Group,votewatch
17,555,FOR,DNK,European Conservatives and Reformists Group,votewatch
17,576,FOR,DNK,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,votewatch
17,611,FOR,DNK,Confederal Group of the European United Left - Nordic Green Left,votewatch
17,654,FOR,DNK,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,votewatch
17,672,FOR,DNK,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,votewatch
17,846,DID_NOT_VOTE,DNK,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,votewatch
17,849,DID_NOT_VOTE,DNK,Confederal Group of the European United Left - Nordic Green Left,votewatch
18,27,FOR,DNK,Group of the Greens/European Free Alliance,votewatch
18,53,AGAINST,DNK,Group of the European People's Party (Christian Democrats),votewatch
18,116,FOR,DNK,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,votewatch
18,316,FOR,DNK,Group of the Alliance of Liberals and Democrats for Europe,votewatch
18,321,FOR,DNK,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,votewatch
18,396,FOR,DNK,Group of the Alliance of Liberals and Democrats for Europe,votewatch
18,550,FOR,DNK,Group of the Alliance of Liberals and Democrats for Europe,votewatch
18,555,ABSTENTION,DNK,European Conservatives and Reformists Group,votewatch
18,576,FOR,DNK,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,votewatch
18,611,FOR,DNK,Confederal Group of the European United Left - Nordic Green Left,votewatch
18,654,FOR,DNK,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,votewatch
18,672,FOR,DNK,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,votewatch
18,846,DID_NOT_VOTE,DNK,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,votewatch
18,849,DID_NOT_VOTE,DNK,Confederal Group of the European United Left - Nordic Green Left,votewatch
19,27,FOR,DNK,Group of the Greens/European Free Alliance,votewatch
19,116,FOR,DNK,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,votewatch
19,316,FOR,DNK,Group of the Alliance of Liberals and Democrats for Europe,votewatch
19,321,FOR,DNK,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,votewatch
19,396,FOR,DNK,Group of the Alliance of Liberals and Democrats for Europe,votewatch
19,446,AGAINST,DNK,Europe of freedom and democracy Group,votewatch
19,550,FOR,DNK,Group of the Alliance of Liberals and Democrats for Europe,votewatch
19,555,ABSTENTION,DNK,European Conservatives and Reformists Group,votewatch
19,576,FOR,DNK,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,votewatch
19,611,FOR,DNK,Confederal Group of the European United Left - Nordic Green Left,votewatch
19,672,FOR,DNK,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,votewatch
19,846,DID_NOT_VOTE,DNK,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,votewatch
19,849,DID_NOT_VOTE,DNK,Confederal Group of the European United Left - Nordic Green Left,votewatch
20,27,FOR,DNK,Group of the Greens/European Free Alliance,votewatch
20,53,FOR,DNK,Group of the European People's Party (Christian Democrats),votewatch
20,116,FOR,DNK,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,votewatch
20,316,FOR,DNK,Group of the Alliance of Liberals and Democrats for Europe,votewatch
20,321,FOR,DNK,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,votewatch
20,396,FOR,DNK,Group of the Alliance of Liberals and Democrats for Europe,votewatch
20,446,FOR,DNK,Europe of freedom and democracy Group,votewatch
20,550,FOR,DNK,Group of the Alliance of Liberals and Democrats for Europe,votewatch
20,555,FOR,DNK,European Conservatives and Reformists Group,votewatch
20,576,FOR,DNK,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,votewatch
20,611,FOR,DNK,Confederal Group of the European United Left - Nordic Green Left,votewatch
20,654,FOR,DNK,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,votewatch
20,672,FOR,DNK,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,votewatch
20,846,DID_NOT_VOTE,DNK,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,votewatch
20,849,DID_NOT_VOTE,DNK,Confederal Group of the European United Left - Nordic Green Left,votewatch
21,27,AGAINST,DNK,Group of the Greens/European Free Alliance,votewatch
21,53,AGAINST,DNK,Group of the European People's Party (Christian Democrats),votewatch
21,116,AGAINST,DNK,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,votewatch
21,316,DID_NOT_VOTE,DNK,Group of the Alliance of Liberals and Democrats for Europe,votewatch
21,321,AGAINST,DNK,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,votewatch
21,446,DID_NOT_VOTE,DNK,Europe of freedom and democracy Group,votewatch
21,555,AGAINST,DNK,European Conservatives and Reformists Group,votewatch
21,576,AGAINST,DNK,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,votewatch
21,611,AGAINST,DNK,Confederal Group of the European United Left - Nordic Green Left,votewatch
21,654,DID_NOT_VOTE,DNK,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,votewatch
