vote_id,member_id,position,country_code,group_code
170637,257038,FOR,DNK,RENEW
170637,257044,FOR,DNK,GREEN_EFA
170638,37312,FOR,DNK,SD
170638,96709,AGAINST,DNK,RENEW
170638,101585,FOR,DNK,SD
170638,111412,FOR,DNK,GREEN_EFA
170638,124875,FOR,DNK,PFE
170638,197558,AGAINST,DNK,RENEW
170638,197573,FOR,DNK,GREEN_EFA
170638,199941,FOR,DNK,SD
170638,257020,AGAINST,DNK,RENEW
170638,257023,FOR,DNK,GUE_NGL
170638,257025,AGAINST,DNK,ECR
170638,257028,AGAINST,DNK,EPP
170638,257033,AGAINST,DNK,EPP
170638,257038,FOR,DNK,RENEW
170638,257044,FOR,DNK,GREEN_EFA
170641,37312,FOR,DNK,SD
170641,96709,AGAINST,DNK,RENEW
170641,101585,FOR,DNK,SD
170641,111412,FOR,DNK,GREEN_EFA
170641,124875,FOR,DNK,PFE
170641,197558,AGAINST,DNK,RENEW
170641,197573,FOR,DNK,GREEN_EFA
170641,199941,FOR,DNK,SD
170641,257020,AGAINST,DNK,RENEW
170641,257023,FOR,DNK,GUE_NGL
170641,257025,AGAINST,DNK,ECR
170641,257028,AGAINST,DNK,EPP
170641,257033,AGAINST,DNK,EPP
170641,257038,FOR,DNK,RENEW
170641,257044,FOR,DNK,GREEN_EFA
170670,37312,FOR,DNK,SD
170670,96709,FOR,DNK,RENEW
170670,101585,FOR,DNK,SD
170670,111412,FOR,DNK,GREEN_EFA
170670,124875,AGAINST,DNK,PFE
170670,197558,FOR,DNK,RENEW
170670,197573,FOR,DNK,GREEN_EFA
170670,199941,FOR,DNK,SD
170670,257020,FOR,DNK,RENEW
170670,257023,FOR,DNK,GUE_NGL
170670,257025,AGAINST,DNK,ECR
170670,257028,FOR,DNK,EPP
170670,257033,FOR,DNK,EPP
170670,257038,FOR,DNK,RENEW
170670,257044,FOR,DNK,GREEN_EFA
170671,37312,FOR,DNK,SD
170671,96709,FOR,DNK,RENEW
170671,101585,FOR,DNK,SD
170671,111412,FOR,DNK,GREEN_EFA
170671,124875,FOR,DNK,PFE
170671,197558,FOR,DNK,RENEW
170671,197573,FOR,DNK,GREEN_EFA
