sagid,oda_sagsomraade
77587,arbejdsmarkedspolitik og beskæftigelsesindsats
77588,strafferet og kriminalitet
77589,sociale ydelser
77590,politi og våben
77642,energiafgifter 
77683,arbejdsmarkedspensioner 
77707,uddannelsesstøtte
77709,forskning og innovation
77710,familieret
77711,familieret
77787,EU|regnskab og revision
77788,PET og terrorbekæmpelse
77790,boligpolitik
77791,erhvervsuddannelser
77793,erhvervsuddannelser
77794,strafferet og kriminalitet
77795,virksomhedsskat
77796,strafferet og kriminalitet
77797,spil
77798,internationale forhold
77799,miljøafgifter|punktafgifter
77800,personskatter|selskabsskatter 
77801,ligebehandling
77802,sygdomme og sygdomsbehandling
77803,sygdomme og sygdomsbehandling
77804,fiskeri og havbrug
77805,praksissektoren og kommunale sundhedsordninger
77806,sundhedsfremme og sygdomsforebyggelse
77807,alternative og vedvarende energikilder
77892,beskatning af fast ejendom 
77893,beskatning af aktier
77894,forvaltningsret og persondata
77968,lægemidler og apoteker
77969,lægemidler og apoteker
77997,formueret og tinglysning
77998,flygtninge og asylansøgere
78024,miljøafgifter
78025,miljøafgifter
78028,personskatter
78029,personskatter
78053,strafferet og kriminalitet
78054,strafferet og kriminalitet
78124,retspleje og domstole
78125,indvandrere og integration
78126,familiesammenføring
78152,affald og renovation
78181,finansiel virksomhed
78182,finansiel virksomhed
78221,motorkøretøjer
78240,politi og våben
78241,politi og retsvæsen
78243,sundhedsfremme og sygdomsforebyggelse
78244,sundhedsfremme og sygdomsforebyggelse
78245,frie grundskoler
78247,selskaber og fonde
78303,fysisk planlægning
78304,fysisk planlægning
78330,faste forbindelser
78335,energiafgifter 
78336,psykiatri
78337,folkepension og førtidspension
78346,EU|international beskatning 
78398,strafferet og kriminalitet
78454,flygtninge og asylansøgere
78536,finanspolitik
78566,landbrug
78567,arbejdsmarkedspensioner 
78568,ældre
78569,arbejdsmarkedspolitik og beskæftigelsesindsats
78570,miljøafgifter
78571,personskatter
78616,naturbeskyttelse og kystsikring
78617,jagt- og vildtforvaltning
78618,naturbeskyttelse og kystsikring
78664,strafferet og kriminalitet
78667,familieret
78668,konkurrence- og forbrugerforhold
78669,familieret
78670,selskaber og fonde
78672,konkurrence- og forbrugerforhold
78675,DSB|byggeri
78676,kulturelle og religiøse forhold
78678,voksen- og efteruddannelse
78680,energiafgifter 
78681,inddrivelse
78798,EU
78799,ophold og visum
78900,selskaber og fonde
78901,økonomi og bloktilskud
78902,økonomi og bloktilskud
78903,finansiel virksomhed
78904,turisme og oplevelsesøkonomi
78906,uddannelsesstøtte
78907,miljøpolitik og miljøbeskyttelse
78911,transportpolitik
78912,byfornyelse
78914,jernbaneinfrastruktur
