id,year,majortopic,subtopic,description,filter_eu,Session,Number,Scope,Day,Month,DK_New_Code,DK_old_code,calendar_year,Date,Type,Opening
8440,1989,12,1210,forslag til lov om ændring af straffeloven (maskeringsforbud),0,25,51,47,1,6,1210,1210,1990,6/1/1990,1,0
236,1989,5,503,Om de i 1988 godkendte medarbejderaktieordninger efter ligningslovens §7A stk. 2,0,25,2514,0,3,4,503,503,1990,4/3/1990,4,0
1560,1989,4,403,Forslag til folketingsbeslutning om brug af v�ksthormoner i kv�g,0,25,250057,8,2,2,403,403,1990,2/2/1990,2,0
1578,1989,4,408,Forslag til folketingsbeslutning om en styrkelse af dansk fiskeri- og havforskning,0,25,250076,20,9,5,408,408,1990,5/9/1990,2,0
8273,1989,2,202,forslag til lov om ændring af lov om registreret partnerskab,0,25,57,8,1,6,202,202,1990,6/1/1990,1,0
8328,1989,17,1707,forslag til lov om ændring af lov om radio- og fjernsynsvirksomhed,0,25,122,5,22,3,1707,1707,1990,3/22/1990,1,0
8415,1989,1,107,forslag til lov om ændring af lov om beskatning af fortjeneste ved afståelse af aktier m.v. og lov om beskatning ved fusion af aktieselskaber m.v. (beskatning af fortjeneste ved likvidationsudlodning,0,25,214,27,1,6,107,107,1990,6/1/1990,1,0
8331,1989,15,1505,forslag til lov om udveksling af forsikringstjenesteydelser inden fir direkte skadesforsikringsvirksomhed,0,25,125,6,10,5,1505,1505,1990,5/10/1990,1,0
8333,1989,15,1501,forslag til lov om ændring af lov om banker og sparekasser m.v. med flere love,0,25,127,11,10,5,1501,1501,1990,5/10/1990,1,0
8409,1989,14,1401,forslag til lov om ændring af realkreditlov og lov om stempelafgift m.v. (forlængelse af foranstaltninger til imødegåelse af tvansauktioner samt stimulering af omsætningen af ejerboliger),0,25,244,33,14,8,1411,1411,1990,8/14/1990,1,0
8237,1989,14,1401,forslag til lov om udstykning og anden registrering i martiklen,0,25,8,5,6,2,1411,1411,1990,2/6/1990,1,0
8376,1989,10,1003,forslag til lov om ændring af lov om luftfart,0,25,199,28,1,6,1003,1003,1990,6/1/1990,1,0
8430,1989,20,2009,forslag til lov om ændring af lov om skattemyndighedernes organisation og opgaver (skattestyrelsesloven),0,25,174,37,1,2,2009,2009,1990,2/1/1990,1,0
1268,1989,18,1802,Om afviklingen af industriembargoen over for Østeuropa,0,25,2517,31,19,1,1802,1802,1990,1/19/1990,3,0
8390,1989,4,402,forslag til lov om ændring af lov om statens fremskaffelse af jord og udlån til jordbrugsmæssige formål m.m. og visse andre love,0,25,221,6,30,5,402,402,1990,5/30/1990,1,0
8422,1989,7,700,forslag til lov om miljøbeskyttelse,0,25,164,32,8,2,700,700,1990,2/8/1990,1,0
8291,1989,8,806,forslsg til lov om garanti til vindmøllebranchens garantiselskab,0,25,80,6,26,4,806,806,1990,4/26/1990,1,0
8420,1989,1,108,forslag til lov om iværksætterordning,0,25,155,7,26,1,108,108,1990,1/26/1990,1,0
8303,1989,6,600,forslag til lov om nedlæggelse af landscentralen for undervisningsmidler,0,25,94,13,26,4,600,600,1990,4/26/1990,1,0
8277,1989,13,1302,forslag til lov om ændring af lov om social bistand (indførelse af ungdomsydelse),0,25,62,34,24,4,1302,1302,1990,4/24/1990,1,0
234,1989,7,700,Om status for opføgning af handlingsplanen for miljø og udviklng,0,25,2512,0,28,3,700,700,1990,3/28/1990,4,0
1574,1989,1,100,Forslag til folketingsbeslutning om l�n- og momsreduktion,0,25,250071,9,25,4,100,100,1990,4/25/1990,2,0
8223,1989,6,604,forslag til lov om ændring af lov om erhvervsskoler,0,25,39,8,18,5,604,604,1990,5/18/1990,1,0
231,1989,7,700,Om miljølovreformens mål og hovedprincipper,0,25,2509,68,18,1,700,700,1990,1/18/1990,4,0
8355,1989,20,2004,forslag til lov om ændring af lov om tjenestemandspension,0,25,151,15,22,5,2004,2004,1990,5/22/1990,1,0
8344,1989,6,601,forslag til lov om adgangsregulering ved videregående uddannelser,0,25,139,20,10,5,601,601,1990,5/10/1990,1,0
8348,1989,15,1504,forslag til lov om ændring af forskellige skattelove (realkreditinstitutters omdannelse til aktieselskaber  og fusioner af fonde m.v.),0,25,143,6,17,4,1504,1504,1990,4/17/1990,1,0
237,1989,8,800,Om energihandlingsplanen Energi-2000 - handlingsplan for en bæredygtig udvikling,0,25,2515,37,4,4,800,800,1990,4/4/1990,4,0
8458,1989,20,2004,forslag til lov om skatteyderbetaling af kantiner m.v.,0,25,208,18,28,3,2004,2004,1990,3/28/1990,1,0
559,1989,5,504,Om hvorfor ATP ikke må drive indtægtsdækket virksomhed,0,25,2521,0,22,2,504,504,1990,2/22/1990,3,0
8287,1989,6,604,forslag til lov om uddannelse til håndarbejdslærer,0,25,76,15,30,5,604,604,1990,5/30/1990,1,0
8248,1989,4,402,forslag til lov om ændring af lov om støtte til forbedring af strukturen og effektiviteteni jordbruget,0,25,20,24,30,5,402,402,1990,5/30/1990,1,0
8304,1989,12,1208,forslag til lov om ændring af lov om børnetilskud og forskudsvis udbetaling af børnebidrag (indførelse af ydelser til særlige grupper af børn),0,25,95,10,8,2,1208,1208,1990,2/8/1990,1,0
562,1989,2,202,"Om hvad regeringen vil gøre for at sikre ligeløn og det faktum, at kvinderne bærer den største del af ledigheden",0,25,2524,46,17,3,202,202,1990,3/17/1990,3,0
8383,1989,20,2001,forslag til lov om ændring af lov om frikommuner,0,25,210,18,30,5,2016,2016,1990,5/30/1990,1,0
8262,1989,10,1002,forslag til lov om ændring af lov om registrering af motorkøretøjer m.v.,0,25,42,8,1,2,1002,1006,1990,2/1/1990,1,0
8399,1989,20,2002,forslag til lov om ændring af forskellige lovbestemmelser om kontrol med udbetaling af offentligeydelser m.v.,0,25,232,32,1,6,2002,2002,1990,6/1/1990,1,0
