sagid,sag_nummer,domains
74161,L 6,Business
74820,L 7 A,Business
74821,L 7 B,Business
74167,L 10,Business
74157,L 25,Housing|Social
74152,L 27,Infrastructure
74160,L 30,Infrastructure
74146,L 35,Justice
74188,L 47,Education
74190,L 48,Education
74153,L 36,Defence
74186,L 18,Economy
74166,L 44,Culture
74168,L 45,Culture
74163,L 19,Culture
74175,L 12,Social
74192,L 13,Economy
74191,L 14,Economy
74189,L 15,Economy
74181,L 53,Environment|Territories
74179,L 54,Environment
74178,L 55,Environment
74421,L 72,Agriculture
74185,L 52,Agriculture
74171,L 49,Education
74170,L 50,Education
74155,L 26,Infrastructure
74151,L 28,Infrastructure
74183,L 46,Immigration
74426,L 70,Immigration
74424,L 71,Immigration
74162,L 23,Infrastructure
74158,L 24,Infrastructure
74154,L 29,Housing
74418,L 65,Housing
74180,L 20,Labour
74182,L 21,Labour
74569,L 77,Labour|Social
74672,L 90,Labour
74557,L 75,Business
74172,L 51,Economy|Labour
74322,L 61,Local
74669,L 92,Local
74200,L 57,Health
74197,L 59,Health
74148,L 32,Justice
74145,L 34,Justice
74422,L 67,Justice
74195,L 60,Health
74677,L 106,Economy|Territories
74184,L 16,Economy
74324,L 63,Economy|Foreign
74675,L 104,Economy
74673,L 105,Economy
74699,L 109,Economy
74703,L 108,other
74143,L 33,Justice
74156,L 5,Business
74165,L 9,Business
74194,L 37,Infrastructure
74199,L 38,Infrastructure
74202,L 41,Infrastructure
74423,L 66,Energy
74676,L 88,Labour|Social
74674,L 89,Labour
74560,L 83,Education
74563,L 84,Education
74666,L 107,Education|Labour
74678,L 97,Immigration
74084,L 1,Economy
74085,L 2,Economy|Local
74087,L 3,Economy|Local
74805,L 114,Health
74159,L 8,Business
74667,L 100,Environment
74670,L 101,Infrastructure
74671,L 102,Environment
74668,L 103,Environment
74897,L 116,Labour
74896,L 117,Labour
75034,L 121,Labour
74561,L 73,Business|Energy
75317,L 86 A,Environment
75318,L 86 B,Environment
74664,L 87,Business
74804,L 113,Education
74566,L 78,Local
74564,L 79,Local
74806,L 110,Local
74147,L 31,Justice
75035,L 122,Economy
74663,L 91,Justice
74807,L 111,Justice
75497,L 95 A,Immigration|Social
75498,L 95 B,Immigration
74684,L 96,Immigration
74562,L 82,Education
74565,L 85,Education
75130,L 124,Business
74999,L 118,Justice
74174,L 11,Social|Territories
75309,L 130,Education
75308,L 131,Education
74559,L 74,Business
75178,L 127,Economy
74997,L 119,Social
75221,L 129,Agriculture
75475,L 137,Local
74679,L 99,Health
74681,L 98,Health
74899,L 115,Justice
75601,L 148,Economy
75222,L 128,Culture
75131,L 125,Business
74558,L 76,Culture
74803,L 112,Culture
75687,L 171,Economy|Housing
75482,L 136,Infrastructure
75383,L 132,Education
75663,L 179,Foreign
74998,L 120,Immigration
75486,L 140,Immigration
76141,L 145 A,Immigration
76142,L 145 B,Housing|Immigration
75466,L 142,Justice
75677,L 175,Environment
75675,L 176,Business
75600,L 150,Foreign
75685,L 174,Economy
75480,L 138,Labour
75670,L 178,Education
75671,L 155,Defence
75467,L 139,Defence
75469,L 144,Business
75598,L 149,Business
75481,L 135,Infrastructure
75484,L 143,Health
75681,L 156,Immigration|Justice
75689,L 172,Economy
75678,L 167,Agriculture
75680,L 168,Environment
75682,L 169,Environment
75384,L 133,Health
75690,L 170,Health
75667,L 152,Infrastructure
75666,L 154,Infrastructure
76076,L 217,Economy|Energy
75799,L 181,Labour
75790,L 186,Environment
75792,L 187,Environment
76006,L 216,Agriculture
75599,L 151,Agriculture
75683,L 164,Energy
75684,L 166,Energy
75917,L 190,Energy
76446,L 185 A,Economy
76447,L 185 B,Economy
74425,L 68,Justice
75597,L 147,Justice
75668,L 157,Justice
75665,L 158,Justice
75664,L 159,Justice
75886,L 205,Justice
75795,L 183,Education
75676,L 177,Housing
76205,L 226,Economy
75912,L 192,Labour
75918,L 193,Labour|Social
75916,L 194,Labour
75915,L 212,Health
75914,L 214,Health
76281,L 235,Health
75901,L 209,Social
75890,L 210,Social
75900,L 211,Social
75797,L 180,Immigration
76212,L 224,Justice
75674,L 160,Social
75133,L 126,Foreign
75672,L 162,Social
